id,size,xpos,ypos,zpos,xsize,ysize,zsize,weightedx,weightedy,weightedz,minaxis,medaxis,majaxis,eccentricity,elongation,orientation,integratedintensty,sigma,seedIntensity,seedScale,minIntensityForeground,maxIntensityForeground,minIntensityBackground,maxIntensityBackground,volumeForeground,volumeBackground,foregroundIntensity,backgroundIntensity,fg/bg ratio,integratedGradientMag
1409,14823,515,895,178,31,33,33,0,0,0,24.5785,28.1909,30.7595,0.489756,1.14697,-0.964572,2287.15,0,0.28236,9,0.101613,0.311962,0.0487102,0.420647,14823,424153,0.154297,0.0870848,1.7718,205.78
1473,14964,799,18,184,28,35,33,0,0,0,22.0962,29.9128,32.5455,0.67405,1.35376,0.18096,3355.07,0,0.380012,9,0.135818,0.539156,0.0466785,0.515367,14964,308492,0.224209,0.0893581,2.50911,325.97
1537,9175,342,277,186,31,28,31,0,0,0,19.6725,26.506,27.5506,0.670188,1.34736,-0.216514,1485.32,0,0.511998,9,0.105445,0.630661,0.0474758,0.663503,9175,429801,0.161888,0.0783021,2.06748,197.189
1601,15850,250,21,190,33,33,32,0,0,0,24.1684,30.4029,30.9355,0.606692,1.25796,-1.42692,1705.6,0,0.209552,9,0.0551398,0.409125,0,0.555898,15850,324934,0.107609,0.0523333,2.05623,196.501
1665,12665,466,845,196,31,33,33,0,0,0,25.0726,26.1316,31.6722,0.281806,1.04224,-1.78456,1799.58,0,0.24746,9,0.0959288,0.260114,0.0491732,0.421341,12665,426311,0.142091,0.0868,1.63699,168.497
1729,11562,409,156,200,31,24,33,0,0,0,20.8148,25.9439,30.2415,0.59692,1.24642,2.90162,1561.68,0,0.325644,9,0.0926626,0.468868,0.048093,0.598025,11562,427414,0.13507,0.0922811,1.46368,168.547
1793,11983,715,351,204,30,28,33,0,0,0,23.7832,24.9094,29.1429,0.29729,1.04735,-1.95536,1712.73,0,0.284649,9,0.0964175,0.38909,0.0489674,0.611964,11983,426993,0.14293,0.0867427,1.64775,168.968
1857,18469,288,296,208,33,30,35,0,0,0,27.1552,30.1541,31.1578,0.434753,1.11043,-0.191394,2498,0,0.530566,9,0.0686161,0.638505,0,0.713422,18469,420507,0.135253,0.0743511,1.81911,280.699
1921,20135,326,508,212,35,33,35,0,0,0,29.2927,30.2803,31.1758,0.253312,1.03372,-2.909,2451.4,0,0.248412,9,0.0612864,0.352416,0,0.70761,20135,418841,0.121748,0.0887243,1.37221,227
1985,13599,615,45,216,33,27,34,0,0,0,23.2636,27.0512,30.1422,0.51032,1.16281,3.01814,1647.91,0,0.168274,9,0.0858987,0.338323,0.0484531,0.492555,13599,425377,0.121179,0.078085,1.55188,152.151
2049,13918,464,76,220,33,32,32,0,0,0,24.0158,27.9646,30.0086,0.512322,1.16442,-1.39535,2008.32,0,0.340689,9,0.0979091,0.443433,0.0498675,0.579739,13918,425058,0.144297,0.0906882,1.59113,194.219
2113,12821,851,625,226,32,23,33,0,0,0,20.9883,27.3491,31.6546,0.641143,1.30307,0.093707,1743.68,0,0.202093,9,0.0947972,0.309184,0.0522851,0.530103,12821,426155,0.136001,0.0995982,1.3655,149.48
2177,6453,584,633,229,29,18,32,0,0,0,15.075,22.3507,28.1239,0.738297,1.48263,-3.10746,1233.07,0,0.401049,9,0.121827,0.441375,0.0510506,0.441273,6453,432523,0.191084,0.0895589,2.13361,159.698
2241,13405,374,756,234,33,28,33,0,0,0,21.7712,29.0114,29.9395,0.660942,1.33256,0.619707,1715.13,0,0.234601,9,0.0902708,0.305429,0.0511792,0.397552,13405,425571,0.127948,0.083401,1.53413,141.723
2305,17058,684,1047,237,33,32,35,0,0,0,25.134,30.5116,31.0001,0.566948,1.21395,-3.05647,2605.39,0,0.241957,9,0.102127,0.281743,0.050279,0.339454,17058,421918,0.152737,0.0743713,2.05371,180.599
2369,14287,544,1023,242,33,33,33,0,0,0,23.316,26.2202,33.2774,0.457447,1.12456,-2.47945,2399.28,0,0.284752,9,0.109894,0.309801,0.0499961,0.312347,14287,424689,0.167935,0.0797615,2.10546,185.485
2433,20960,976,823,248,34,35,35,0,0,0,30.1456,30.7189,31.0471,0.192294,1.01902,-2.50632,2993.69,0,0.203225,9,0.0753028,0.336111,0,0.439498,20960,418016,0.142829,0.0972946,1.468,221.447
2497,11156,792,808,252,31,24,33,0,0,0,19.0303,27.9617,30.4274,0.732671,1.46933,0.0369708,1687.4,0,0.245506,9,0.102616,0.264409,0.0528509,0.298099,11156,427820,0.151254,0.0842263,1.79581,149.268
